state,murder,forcible_rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft
United States ,5.6,31.7,140.7,291.1,726.7,2286.3,416.7
Alabama ,8.2,34.3,141.4,247.8,953.8,2650.0,288.3
Alaska ,4.8,81.1,80.9,465.1,622.5,2599.1,391.0
Arizona ,7.5,33.8,144.4,327.4,948.4,2965.2,924.4
Arkansas,6.7,42.9,91.1,386.8,1084.6,2711.2,262.1
California ,6.9,26.0,176.1,317.3,693.3,1916.5,712.8
Colorado ,3.7,43.4,84.6,264.7,744.8,2735.2,559.5
Connecticut ,2.9,20.0,113.0,138.6,437.1,1824.1,296.8
